Line,Product Family,Base Polymer,Base Type,Additional Treatment,Product Group,Color Group,Width Material Attri,Thickness Material A,Uptime,Rate,Yield,Quantity Good,Run Time Hours,Net Quantity Produced,Downtime,Sales Quantity in KG,Net Sales Quantity in KG,Gross Sales,Freight Revenue Subtotal,Total Gross Sales Revenue,Sales Discounts,Term (Cash) Discounts,Claims (Returns),Bonus (Rebates),Net Sales I,Sales Price net per KG,Commissions Expense primary,Commissions Expense secondary,Direct Sales Costs,Net Sales II,Material Costs,Subcontracting,Added Value,Packing Material (pallets only),Packaging Overhead Variable,Energy & Supplies Variable,Contribution Margin I - C,Personnel Direct,Personnel Indirect,Maintenance Fix,Other Fixed Overhead,Corporate Allocated Costs Prod,Contribution Margin II - C,Research & Development,Selling exp. (Condition),"General, & Administrative (Condition)",EBITDA before Allocations,EBITDA (€),Total Depreciation,EBIT,Product,EBITDA (€) Rank,EBITDA (€) / Hr
K10,Cards Core,PVC,230/18,H140,Cards Core,OP,604,100,0.98,659.44,0.71,129373.97,278.2105555555556,183463.974,4.526388888888889,22995.0,22995.0,283732.95,0.0,283732.95,0.0,0.0,0.0,0.0,283732.95,12.338897586431832,0.0,0.0,-1730.34,282002.61,89188.79,0.0,194544.16,682.5,162.58,9435.08,182533.66,18417.93,25750.06,6632.57,8131.64,1189.84,122411.62,850.82,4014.48,1446.17,116100.15,116100.15,7392.78,108707.37,PVC-230/18-H140-OP-604-100,20.0,3329.4665325505543
K17,Tape,PVC,240/15,ZZZ,Tape,TL,1680,30,0.9,1012.58,0.95,8612644.900000002,8911.158055555552,9023230.900000002,989.1644444444447,717515.0,717515.0,1733844.08,0.0,1733844.08,0.0,-5932.03,0.0,0.0,1727912.05,2.4081894455168187,0.0,0.0,-35384.98,1692527.07,1136530.18,0.0,591381.87,0.0,3784.98,67135.57,485076.34,79970.31,59107.22,45644.19,38332.48,15436.73,246585.41,26548.01,61835.34,45124.46,113077.6,113077.6,23110.72,89966.88,PVC-240/15-ZZZ-TL-1680-30,21.0,159.57870735524693
K10,Construction,PVC,201/01,ZZZ,Construction,GY,1200,300,0.93,1147.33,0.94,422642.40400000004,391.3325,448986.4430000002,28.68055555555556,130088.4,129952.4,380114.4,0.0,380114.4,-2145.75,-7159.41,-2401.07,-7778.02,360630.15,2.7750941883335742,0.0,0.0,-19452.52,341177.63,120166.9,0.0,240463.25,1761.95,386.75,8152.78,210709.25,34615.38,23039.39,7682.14,10390.96,2438.3,132543.08,4810.59,11204.68,8176.67,108351.14,108351.14,5739.96,102611.18,PVC-201/01-ZZZ-GY-1200-300,22.0,956.615756663209
E27,Shrink Sleeve,PET,G10F12,T45,Shrink Sleeve,GC,1025,40,0.62,1414.01,0.99,881368.022,626.9319444444445,886486.022,391.60555555555567,206516.9,206516.9,712483.37,780.0,721584.47,0.0,0.0,0.0,0.0,721584.47,3.4940698315731065,0.0,0.0,-13304.78,708279.69,435954.73,0.0,285629.74,12932.32,969.86,18473.16,239949.62,33987.67,29829.03,4432.29,10151.46,5252.75,156296.42,10305.21,26940.12,12987.85,106063.24,106063.24,23391.66,82671.58,PETG-G10F12-T45-GC-1025-40,23.0,726.2092448240314
K17,Tape,PVC,240/13,ZZZ,Tape,TL,1040,45,0.96,748.66,0.88,311604.80000000005,472.2697222222222,353570.8,18.73611111111111,58740.0,58693.4,503233.17,0.0,503233.17,0.0,0.0,-7416.63,0.0,495816.54,8.447568891902668,-4775.77,0.0,-29550.35,466266.19,159467.81,0.0,336348.73,4424.05,643.79,42403.33,259327.21,43469.33,52972.28,25266.75,18607.81,3704.7,115306.34,2173.39,5062.2,3694.15,104376.6,104376.6,33874.96,70501.64,PVC-240/13-ZZZ-TL-1040-45,24.0,1331.3692060095343
K40,Dec. Surfaces/others,PVC,252/92,ZZZ,2D Uni,OP,1230,100,1.0,774.22,0.93,95850.6,132.93472222222223,102920.5,0.0,41617.6,41617.6,204323.73,0.0,204323.73,0.0,0.0,0.0,0.0,204323.73,4.909551007266157,0.0,0.0,-2812.58,201511.15,65985.08,0.0,138338.65,0.0,235.49,3664.55,131626.03,5791.83,6359.74,3396.97,3545.74,1627.8,110903.95,2204.89,6124.87,2617.33,99956.86,99956.86,1968.32,97988.54,PVC-252/92-ZZZ-OP-1230-100,25.0,1859.516169822383
E27,Shrink Sleeve,PET,G10T22,T52,Shrink Sleeve,GC,1334,50,1.0,1759.15,1.0,240042.583,136.72694444444448,240522.583,0.0,195672.2,195672.2,586393.32,0.0,619657.62,0.0,0.0,0.0,0.0,619657.62,3.1668148055779,0.0,0.0,0.0,619657.62,437629.99,0.0,182027.63,14939.92,365.36,12769.53,153952.82,30754.86,24929.86,1812.24,5099.2,4078.98,87277.68,0.0,0.0,0.0,87277.68,87277.68,21008.9,66268.78,PETG-G10T22-T52-GC-1334-50,26.0,784.6517327039813
E27,Shrink Sleeve,PET,G10T22,T38,Shrink Sleeve,GC,899,45,0.95,1222.63,0.99,856246.4529999999,707.5586111111112,865083.4529999999,36.16722222222222,179435.5,179435.5,547114.49,0.0,577618.52,0.0,0.0,0.0,0.0,577618.52,3.2190871928910387,0.0,0.0,0.0,577618.52,399225.33,0.0,178393.19,17291.21,300.81,11590.89,149210.28,29273.47,26091.43,1755.44,4984.76,3709.38,83395.8,0.0,0.0,0.0,83395.8,83395.8,19708.65,63687.15,PETG-G10T22-T38-GC-899-45,27.0,568.2387652053245
E27,Shrink Sleeve,PET,G10F22,T52,Shrink Sleeve,GC,920,45,0.93,1288.74,0.99,5220170.689999999,4075.9916666666613,5252874.323999999,293.31333333333333,124794.0,124794.0,456688.17,0.0,463647.45,0.0,-3007.34,0.0,-5574.48,455065.63,3.6465345289036333,0.0,0.0,-17530.89,437534.74,259851.42,0.0,195214.21,6570.92,619.75,9089.31,161403.34,22444.91,16990.51,1556.62,4045.51,2819.89,113545.9,6227.22,16279.38,7848.27,83191.03,83191.03,14519.17,68671.86,PETG-G10F22-T52-GC-920-45,28.0,859.1086751141881
E26,Shrink Sleeve,PET,G25F21,T42,Shrink Sleeve,MC,578,50,0.72,531.62,0.86,612708.3749999999,1343.6008333333336,714283.788,520.1650000000001,121372.8,121372.8,526757.97,0.0,547391.33,0.0,0.0,0.0,0.0,547391.33,4.510000016478156,0.0,0.0,0.0,547391.33,339979.5,0.0,207411.83,6215.93,131.43,24053.86,177010.61,36091.08,31264.2,7925.03,14507.91,7842.49,79379.9,0.0,0.0,0.0,79379.9,79379.9,27424.41,51955.49,PETG-G25F21-T42-MC-578-50,29.0,347.68862906680897
